Location,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MONTANA,1214.04,1618.72,2023.4,2023.4,2428.08,2428.08,2832.76,3237.44,3642.12,4046.8,6474.88,8093.6,9712.32,12140.4,21448.04,25899.52,27113.56,32779.08,40468.0,7688.92,15377.84,19424.64,23066.76,40872.68,32779.08,23471.44,20234.0,13759.12,9712.32,8902.96,8902.96,7688.92,20234.0,10521.68,5260.84,12949.76,4451.48,17401.24,22257.4,19829.32,21448.04,25090.16,19019.96,13759.12,11331.04,5665.52,5260.84,8902.96,10926.36,3237.44,4856.16,3237.44,2428.08,5665.52,2428.08,3642.12,2428.08,3237.44,2428.08,1618.72,1214.04,1214.04,1618.72,3237.44,1618.72,1214.04,2023.4,2832.76,1618.72,2428.08,1618.72,2832.76,2428.08,4451.48,5260.84,4046.8,4451.48,4451.48,4046.8,4046.8,3237.44,4046.8,5665.52,5260.84,6070.2,4451.48,5260.84,6070.2,8093.6,1618.72,3642.12,6070.2,10117.0,8093.6,6879.56,6474.88,6070.2,5665.52,7284.24,7284.24,6474.88,5260.84,5260.84,6879.56,6070.2,6879.56,7284.24,15377.84,14163.8,10521.68,13759.12,14568.48,24280.8,30351.0,30351.0,20234.0,22257.4,26304.2,
NEBRASKA,2974398.0,2903579.0,2974398.0,2863111.0,2944047.0,2913696.0,2863111.0,2863111.0,2893462.0,2965090.4,3004749.0,2974398.0,3035100.0,3095802.0,2974398.0,2974398.0,3075568.0,3379078.0,2832760.0,2710951.3,2960638.9,2893866.7,2646607.2,3202637.5,3229346.4,3354392.5,3312305.8,3354392.5,3230155.8,3476201.2,3568872.9,3702012.6,4048823.4,3992572.9,404275.32,2778532.9,745420.56,2239094.4,2676148.8,2055369.7,1884999.4,2579025.6,2829117.9,3034695.3,3420355.4,3245533.6,3001916.2,2821833.6,2810502.6,2951331.2,2715402.8,2721877.7,2695168.8,2689503.3,2629206.0,1932347.0,1633693.2,1909280.2,2191342.2,2653891.4,2645797.8,2143185.3,2035945.1,2035945.1,1534951.2,1442684.2,1659188.0,1825106.8,1715438.5,1869621.6,1953795.0,2144804.0,2078031.8,2387612.0,2306676.0,2395705.6,2468548.0,2650654.0,2731590.0,2893462.0,2873228.0,2784198.4,2751824.0,1962698.0,2812526.0,3014866.0,2832760.0,2509016.0,2670888.0,2832760.0,2954164.0,3156504.0,3196972.0,3055334.0,3338610.0,3116036.0,3338610.0,3480248.0,3460014.0,3358844.0,3257674.0,3136270.0,2974398.0,3116036.0,3217206.0,3338610.0,3136270.0,3723056.0,3460014.0,3581418.0,3581418.0,3884928.0,3682588.0,3864694.0,3621886.0,3702822.0,3864694.0,3763524.0,3743290.0
NEW JERSEY,127878.88,120189.96,125046.12,114929.12,114929.12,114929.12,113715.08,112501.04,111287.0,110477.64,110477.64,110477.64,110477.64,110477.64,103193.4,108454.24,106430.84,103193.4,105216.8,94695.12,83364.08,77293.88,71223.68,69200.28,64344.12,68795.6,63939.44,58273.92,55441.16,53013.08,55036.48,59892.64,57464.56,60702.0,61511.36,66367.52,59892.64,63534.76,58273.92,53013.08,53013.08,52608.4,55845.84,51394.36,54631.8,50585.0,50585.0,49370.96,53417.76,47347.56,48966.28,54631.8,58678.6,56250.52,57464.56,53822.44,54227.12,29946.32,40063.32,44919.48,43705.44,31565.04,31565.04,25090.16,25090.16,25090.16,21448.04,29136.96,21852.72,26708.88,27518.24,33588.44,21043.36,30351.0,35207.16,36421.2,46538.2,40063.32,41682.04,38444.6,47752.24,52608.4,46133.52,36421.2,40063.32,44110.12,38039.92,34397.8,31969.72,28732.28,30351.0,31160.36,33183.76,32374.4,32779.08,31565.04,38039.92,38039.92,39658.64,24280.8,30351.0,26708.88,28327.6,24685.48,29136.96,25090.16,25899.52,33183.76,29946.32,28327.6,28732.28,32779.08,34802.48,32374.4,31969.72,29136.96,28732.28,28327.6,
NEW MEXICO,18210.6,19829.32,21448.04,23876.12,22662.08,28327.6,31969.72,33993.12,38849.28,44110.12,47347.56,51799.04,53417.76,52608.4,55036.48,58273.92,66772.2,71223.68,78912.6,91862.36,97527.88,98741.92,72033.04,70414.32,67986.24,68795.6,76484.52,56250.52,85387.48,87815.56,77293.88,89434.28,88220.24,72437.72,28327.6,69200.28,56655.2,69200.28,62320.72,59892.64,59083.28,71223.68,69604.96,59487.96,65558.16,42086.72,42491.4,33588.44,29541.64,30351.0,21043.36,12545.08,12140.4,8902.96,12140.4,14163.8,9712.32,10521.68,10521.68,8902.96,6879.56,6070.2,4856.16,5260.84,5665.52,6070.2,5260.84,6474.88,8093.6,8498.28,7284.24,6879.56,9712.32,11735.72,19829.32,30351.0,38849.28,46133.52,29136.96,29946.32,30351.0,26304.2,26304.2,20234.0,25494.84,26304.2,25090.16,19829.32,22257.4,24280.8,22257.4,24280.8,28732.28,34397.8,34397.8,29541.64,33993.12,34397.8,34397.8,33588.44,26708.88,18615.28,19829.32,19424.64,23471.44,22257.4,18210.6,21852.72,22257.4,20234.0,26708.88,18210.6,17401.24,15377.84,19424.64,16187.2,16591.88,17401.24,
NEW YORK,341954.6,319697.2,327790.8,307556.8,311603.6,307556.8,303510.0,295416.4,291369.6,303510.0,307556.8,307556.8,295416.4,303510.0,307556.8,311603.6,287322.8,307556.8,313627.0,129497.6,111691.68,108454.24,118166.56,97527.88,71223.68,84578.12,51799.04,50585.0,39253.96,45728.84,45728.84,53822.44,58678.6,63534.76,67581.56,69200.28,57464.56,67176.88,80126.64,76889.2,56655.2,65558.16,69604.96,53013.08,55845.84,52608.4,61916.04,54631.8,66367.52,68795.6,74865.8,69604.96,94290.44,96718.52,96313.84,94290.44,93481.08,96313.84,85792.16,92671.72,85387.48,73247.08,72437.72,80936.0,76484.52,82959.4,87815.56,117761.88,104812.12,105216.8,127474.2,163895.4,129497.6,169965.6,212457.0,220550.6,231881.64,258995.2,242808.0,263042.0,295416.4,335884.4,309580.2,242808.0,271135.6,291369.6,263042.0,242808.0,218527.2,230667.6,250901.6,242808.0,222574.0,218527.2,230667.6,250901.6,254948.4,242808.0,234714.4,238761.2,182106.0,218527.2,186152.8,178059.2,202340.0,186152.8,194246.4,222574.0,258995.2,240784.6,238761.2,250901.6,275182.4,279229.2,275182.4,238761.2,230667.6,196269.8,254948.4
NORTH CAROLINA,1092636.0,1040027.6,1080495.6,1027887.2,1027887.2,1015746.8,1007653.2,987419.2,987419.2,999559.6,1019793.6,987419.2,987419.2,963138.4,926717.2,959091.6,922670.4,1015746.8,979325.6,935215.48,889081.96,908506.6,850637.36,850637.36,808955.32,827165.92,828379.96,815025.52,807741.28,765654.56,871276.04,917004.88,898389.6,938857.6,948165.24,978111.56,936429.52,924289.12,966375.84,976897.52,962733.72,946546.52,901222.36,911339.36,904055.12,869657.32,851446.72,853874.8,864801.16,858730.96,875322.84,852660.76,836878.24,823928.48,794791.52,798433.64,742183.12,696454.28,691193.44,735708.24,708190.0,567361.36,513943.6,564933.28,549150.76,532558.88,542675.88,558863.08,545508.64,518395.08,566552.0,633324.2,517990.4,566552.0,635347.6,643441.2,760798.4,704143.2,647488.0,683909.2,700096.4,740564.4,635347.6,517990.4,655581.6,657605.0,550364.8,445148.0,392539.6,384446.0,433007.6,384446.0,420867.2,343978.0,364212.0,283276.0,364212.0,352071.6,311603.6,258995.2,258995.2,252925.0,275182.4,275182.4,299463.2,283276.0,299463.2,408726.8,335884.4,323744.0,339931.2,329814.2,331837.6,348024.8,315650.4,295416.4,380399.2,339931.2,339931.2
NORTH DAKOTA,35611.84,55845.84,50989.68,55036.48,60702.0,60297.32,60702.0,70819.0,76889.2,91457.68,113310.4,161872.0,171989.0,182106.0,202340.0,242808.0,171989.0,202340.0,182106.0,77293.88,94290.44,110882.32,72842.4,104407.44,102384.04,68795.6,53822.44,57869.24,53013.08,55845.84,62725.4,79317.28,119380.6,117761.88,6879.56,139209.92,25090.16,118975.92,124236.76,140423.96,191413.64,216503.8,172798.36,169560.92,215694.44,163490.72,176845.16,211647.64,214885.08,212861.68,171989.0,162276.68,127474.2,153778.4,174012.4,204363.4,188176.2,206791.48,151755.0,113310.4,129092.92,73651.76,68390.92,111287.0,76889.2,79317.28,73651.76,53822.44,53417.76,52608.4,50585.0,74865.8,68795.6,72842.4,68795.6,56655.2,82554.72,105216.8,121404.0,126664.84,117357.2,207600.84,210433.6,176035.8,254948.4,226620.8,214480.4,202340.0,153778.4,188176.2,186152.8,230667.6,234714.4,147708.2,210433.6,206386.8,242808.0,238761.2,333861.0,265065.4,376352.4,285299.4,402656.6,473475.6,465382.0,485616.0,566552.0,950998.0,930764.0,704143.2,760798.4,833640.8,1400192.8,1456848.0,1023840.4,1035980.8,1323303.6,1307116.4,1181665.6
OHIO,1618720.0,1568135.0,1618720.0,1578252.0,1608603.0,1517550.0,1578252.0,1537784.0,1517550.0,1630860.4,1588369.0,1578252.0,1598486.0,1558018.0,1507433.0,1537784.0,1578252.0,1699656.0,1568135.0,1406263.0,1352035.9,1286073.0,1156170.8,1251270.6,1112465.3,1315614.7,1256126.7,1152933.3,1242772.3,1178023.5,1214849.4,1376721.4,1369032.4,1376721.4,1228203.8,1385219.6,1379554.1,1428925.1,1355678.0,1309544.5,1198662.2,1236702.1,1235892.7,1289310.5,1386029.0,1333420.6,1377935.4,1253698.6,1404239.6,1375912.0,1276765.4,1349203.1,1368627.8,1358915.4,1428520.4,1439042.1,1354464.0,1219705.5,1213230.6,1422045.5,1369032.4,1026673.2,1103157.7,1200280.9,1248437.8,1235892.7,1260578.2,1311163.2,1167097.1,1122177.6,1230227.2,1434590.6,1250461.2,1230227.2,1432567.2,1351631.2,1545877.6,1464941.6,1460894.8,1468988.4,1578252.0,1517550.0,1618720.0,1133104.0,1578252.0,1630860.4,1505409.6,1254508.0,1214040.0,1205946.4,1396146.0,1375912.0,1436614.0,1327350.4,1416380.0,1254508.0,1133104.0,1436614.0,1351631.2,1294976.0,1335444.0,1282835.6,1201899.6,1242367.6,1258554.8,1315210.0,1197852.8,1460894.8,1262601.6,1270695.2,1323303.6,1294976.0,1477082.0,1509456.4,1404239.6,1319256.8,1335444.0,1266648.4,1319256.8
OKLAHOMA,1064308.4,1116916.8,1278788.8,1250461.2,1456848.0,1598486.0,1606579.6,1918183.2,2015306.4,2403394.5,2270254.8,2201459.2,1982932.0,1675375.2,1404239.6,1428520.4,1424473.6,1363771.6,1157384.8,1000773.6,1123796.4,1371055.8,1316019.4,1233060.0,1131080.6,995917.48,931978.04,1262196.9,1191782.6,1178832.8,1199066.8,1275956.0,1285263.7,1031934.0,547532.04,702929.16,608234.04,634942.92,668531.36,695644.92,702929.16,694026.2,701310.44,636561.64,634538.24,509896.8,532963.56,434626.32,426128.04,430174.84,409131.48,382827.28,251710.96,135163.12,81745.36,120594.64,110477.64,70009.64,94290.44,83364.08,83364.08,62320.72,49775.64,45324.16,28327.6,21043.36,14973.16,12140.4,24685.48,25090.16,25090.16,25090.16,33993.12,37635.24,42086.72,36825.88,42896.08,38444.6,26304.2,30351.0,30351.0,20234.0,18210.6,14973.16,20234.0,22257.4,18210.6,26708.88,29136.96,31565.04,35611.84,38444.6,54631.8,58678.6,66772.2,52608.4,68795.6,68795.6,89029.6,113310.4,97123.2,84982.8,76889.2,76889.2,80936.0,101170.0,89029.6,109263.6,129497.6,129497.6,137591.2,76889.2,119380.6,125450.8,117357.2,113310.4,141638.0,123427.4,113310.4
OREGON,9712.32,10926.36,11331.04,11735.72,11735.72,12140.4,12949.76,12140.4,12949.76,13759.12,14163.8,15782.52,16187.2,16996.56,18210.6,19829.32,23876.12,25899.52,27518.24,12949.76,10926.36,10521.68,8093.6,10117.0,8093.6,8902.96,8902.96,10926.36,11735.72,10117.0,10521.68,10117.0,12949.76,13759.12,10521.68,12140.4,15377.84,16591.88,12949.76,13759.12,12949.76,13354.44,9712.32,8902.96,5665.52,4451.48,4856.16,4451.48,4451.48,4856.16,4046.8,4856.16,4046.8,4046.8,5260.84,8093.6,6879.56,7688.92,10117.0,12140.4,13354.44,9712.32,8093.6,7284.24,4856.16,5260.84,4451.48,3642.12,2832.76,3642.12,4046.8,3237.44,3237.44,2832.76,3237.44,3237.44,4046.8,4856.16,5260.84,4856.16,5260.84,8902.96,15782.52,13354.44,16996.56,16187.2,12140.4,9712.32,7688.92,8902.96,7284.24,6070.2,6070.2,7688.92,8093.6,8498.28,14973.16,10926.36,13354.44,12140.4,10926.36,7284.24,8093.6,12140.4,11331.04,10117.0,11735.72,14163.8,13354.44,12949.76,15377.84,20638.68,21043.36,14568.48,15782.52,12140.4,15782.52,17805.92,
PENNSYLVANIA,635347.6,629277.4,635347.6,617137.0,598926.4,598926.4,592856.2,578692.4,572622.2,590832.8,590832.8,580715.8,586786.0,592856.2,592856.2,615113.6,586786.0,637371.0,643441.2,544699.28,507064.04,492495.56,469833.48,439887.16,421676.56,451218.2,433816.96,368663.48,382422.6,384446.0,350857.56,392539.6,388492.8,411559.56,411559.56,445148.0,427746.76,442719.92,437054.4,435435.68,416415.72,411964.24,408726.8,414392.32,452432.24,426128.04,426937.4,423295.28,444338.64,429365.48,413582.96,426128.04,434626.32,421676.56,420867.2,404275.32,396181.72,329004.84,379994.52,388492.8,373519.64,362188.6,318887.84,328600.16,331837.6,331837.6,271944.96,372710.28,327790.8,351262.24,369877.52,419248.48,364212.0,420867.2,445148.0,437054.4,477522.4,489662.8,493709.6,517990.4,517990.4,566552.0,526084.0,424914.0,546318.0,558458.4,501803.2,441101.2,368258.8,388492.8,392539.6,348024.8,400633.2,392539.6,416820.4,396586.4,433007.6,408726.8,424914.0,356118.4,437054.4,388492.8,339931.2,360165.2,396586.4,388492.8,388492.8,396586.4,356118.4,372305.6,368258.8,388492.8,404680.0,441101.2,416820.4,380399.2,384446.0,372305.6,368258.8
SOUTH CAROLINA,704143.2,667722.0,692002.8,663675.2,639394.4,647488.0,631300.8,619160.4,623207.2,635752.28,647488.0,655581.6,687956.0,696049.6,671768.8,752704.8,724377.2,752704.8,738541.0,709404.04,674196.88,767273.28,755537.56,715878.92,645869.28,617946.36,562100.52,569384.76,546722.68,541866.52,604187.24,642227.16,652748.84,644250.56,705357.24,738945.68,649106.72,660033.08,735708.24,706571.28,697263.64,650320.76,581525.16,628468.04,598926.4,562100.52,572622.2,548341.4,546722.68,544699.28,567766.04,511110.84,480355.16,451622.88,388088.12,396586.4,348834.16,324553.36,327790.8,301486.6,286513.44,226216.12,190199.6,197888.52,178059.2,157825.2,157825.2,171989.0,174012.4,171179.64,180891.96,205172.76,151755.0,174012.4,218122.52,222574.0,269921.56,279229.2,222574.0,205982.12,208410.2,230667.6,153778.4,111287.0,180891.96,210433.6,186152.8,151755.0,135567.8,137591.2,129497.6,103193.4,141638.0,97123.2,139614.6,107240.2,153778.4,131521.0,111287.0,111287.0,113310.4,97123.2,105216.8,87006.2,119380.6,115333.8,117357.2,149731.6,127474.2,129497.6,135567.8,133544.4,125450.8,135567.8,113310.4,105216.8,141638.0,131521.0,125450.8
SOUTH DAKOTA,517990.4,586786.0,671768.8,687956.0,708190.0,740564.4,758775.0,748658.0,785079.2,836878.24,870062.0,950998.0,1072402.0,1143221.0,1274742.0,1315210.0,1214040.0,1355678.0,1311163.2,1115298.1,1275146.7,1321684.9,1250461.2,1498530.0,1399788.1,1309949.2,1161026.9,1531309.1,1295380.7,1413547.2,1482342.8,1021817.0,1447135.7,1022626.4,206386.8,1130675.9,180891.96,886653.88,902841.08,799243.0,879774.32,798433.64,1084542.4,1132699.3,1400192.8,1390885.2,1428115.7,1397764.7,1344751.6,1321684.9,1266243.7,1165478.4,1271504.6,1443088.9,1364176.3,1228203.8,1286073.0,1433376.6,1321684.9,1006843.8,1386433.7,1109227.9,1076044.1,1280407.5,1049739.9,955449.48,1031934.0,980134.96,960710.32,949379.28,989037.92,1062689.7,976897.52,1096682.8,942904.4,910530.0,485616.0,870062.0,1072402.0,1153338.0,930764.0,1044074.4,1088589.2,797219.6,1125010.4,1214040.0,1133104.0,1072402.0,971232.0,1072402.0,1214040.0,1315210.0,1335444.0,1031934.0,1355678.0,991466.0,1477082.0,1375912.0,1436614.0,1315210.0,1537784.0,1375912.0,1315210.0,1558018.0,1679422.0,1598486.0,1303069.6,1812966.4,1780592.0,1893902.4,1707749.6,2003166.0,2144804.0,2371424.8,2152897.6,2035540.4,2076008.4,2055774.4,2003166.0
TENNESSEE,1311163.2,1343537.6,1428520.4,1392099.2,1384005.6,1367818.4,1392099.2,1355678.0,1307116.4,1282835.6,1331397.2,1315210.0,1286882.4,1294976.0,1294976.0,1367818.4,1315210.0,1568135.0,1505409.6,1335848.7,1365795.0,1357296.7,1252079.9,1172358.0,1207969.8,1223347.6,1168311.2,1124605.7,1090612.6,1089803.2,1100729.6,1182475.0,1185307.7,1178428.2,1133104.0,1106799.8,1127843.2,1098301.5,1063499.0,1024649.8,1066736.5,1036790.2,1029910.6,1014937.4,941285.68,827975.28,852256.08,852256.08,878964.96,825142.52,823928.48,768487.32,721544.44,685527.92,685527.92,664889.24,639394.4,530535.48,540247.8,571408.16,547936.72,405489.36,356927.76,346406.08,344787.36,320506.56,310794.24,316864.44,266279.44,244831.4,230262.92,273159.0,194246.4,215694.44,221764.64,248878.2,289346.2,295416.4,267088.8,250901.6,258995.2,258995.2,254948.4,194246.4,279229.2,327790.8,311603.6,234714.4,214480.4,214480.4,206386.8,206386.8,258995.2,222574.0,230667.6,218527.2,263042.0,250901.6,250901.6,230667.6,234714.4,246854.8,246854.8,250901.6,248878.2,240784.6,202340.0,319697.2,254948.4,238761.2,258995.2,297439.8,388492.8,327790.8,339931.2,295416.4,335884.4,287322.8,277205.8
TEXAS,1954604.4,1938417.2,1974838.4,1974838.4,1954604.4,2015306.4,2035540.4,2080055.2,2100289.2,2089767.5,2152897.6,2108382.8,2076008.4,1934370.4,1780592.0,1995072.4,1901996.0,1922230.0,1922230.0,1899972.6,1940035.9,2406632.0,1921420.6,1626004.2,1466965.0,1023031.0,1408691.1,1923848.7,1734863.2,1649475.7,1798397.9,2005998.8,2228168.1,2105145.4,1812966.4,1967554.2,1825916.2,1821464.7,1912113.0,1749431.6,1847364.2,1780996.7,1867598.2,1850197.0,1517550.0,1297808.8,1221728.9,1100729.6,975683.48,949379.28,1152528.6,853470.12,806527.24,687146.64,702524.48,777390.28,644655.24,657605.0,670959.44,579097.08,506254.68,430174.84,425723.36,349238.84,297035.12,237547.16,213671.04,198697.88,202744.68,241593.96,225406.76,223383.36,186152.8,258995.2,356118.4,465382.0,627254.0,667722.0,582739.2,509896.8,526084.0,441101.2,461335.2,437054.4,627254.0,602973.2,538224.4,505850.0,546318.0,566552.0,586786.0,607020.0,655581.6,748658.0,825547.2,768892.0,716283.6,708190.0,748658.0,716283.6,768892.0,574645.6,724377.2,667722.0,679862.4,748658.0,586786.0,797219.6,821500.4,793172.8,841734.4,594879.6,627254.0,789126.0,805313.2,797219.6,1031934.0,906483.2,772938.8
UTAH,4451.48,4451.48,4451.48,4451.48,4046.8,4046.8,4046.8,4046.8,4046.8,3237.44,3237.44,4046.8,4451.48,4451.48,4856.16,5260.84,5665.52,8093.6,9712.32,5665.52,4856.16,3237.44,2832.76,3237.44,2832.76,2832.76,2428.08,2428.08,2428.08,2832.76,2832.76,3237.44,3642.12,2428.08,2023.4,4451.48,4451.48,4451.48,4451.48,3642.12,4046.8,3237.44,2428.08,2832.76,2023.4,2023.4,2023.4,2023.4,2023.4,2023.4,2023.4,2023.4,1618.72,1618.72,1214.04,1214.04,1214.04,2023.4,1214.04,2023.4,1214.04,1214.04,1214.04,809.36,1214.04,1214.04,809.36,1214.04,1214.04,2428.08,4046.8,6070.2,3237.44,5260.84,5665.52,6070.2,6070.2,5260.84,6474.88,6474.88,6070.2,6070.2,6879.56,5665.52,6474.88,6474.88,7284.24,8093.6,8902.96,8093.6,7688.92,8498.28,9712.32,8902.96,8902.96,8093.6,8093.6,8093.6,9712.32,8093.6,7284.24,6070.2,6474.88,5260.84,4856.16,4856.16,6879.56,8902.96,9307.64,6879.56,9307.64,12140.4,13759.12,12545.08,11331.04,6879.56,11735.72,8093.6,
VIRGINIA,768892.0,768892.0,776985.6,748658.0,748658.0,748658.0,740564.4,718307.0,728424.0,752704.8,776985.6,756751.6,736517.6,728424.0,708190.0,748658.0,736517.6,825547.2,809360.0,730447.4,702524.48,657605.0,609852.76,610257.44,540652.48,633728.88,597307.68,573431.56,563719.24,547532.04,490472.16,577478.36,543080.56,589214.08,540247.8,575050.28,519609.12,556839.68,520823.16,528916.76,512729.56,483592.6,490876.84,495733.0,481569.2,433412.28,411559.56,394967.68,394967.68,367449.44,363807.32,351262.24,342763.96,312817.64,314436.36,301081.92,292178.96,254139.04,256567.12,264256.04,253734.36,220550.6,200721.28,160657.96,184938.76,199911.92,171989.0,196269.8,179677.92,179677.92,188985.56,194246.4,203149.36,222574.0,230667.6,228644.2,261018.6,244831.4,254948.4,248878.2,240784.6,252925.0,250901.6,137591.2,218527.2,222574.0,161872.0,131521.0,119380.6,147708.2,147708.2,135567.8,145684.8,115333.8,141638.0,111287.0,125450.8,131521.0,121404.0,113310.4,133544.4,133544.4,131521.0,133544.4,145684.8,145684.8,139614.6,163895.4,137591.2,133544.4,125450.8,137591.2,141638.0,145684.8,141638.0,121404.0,137591.2,137591.2,133544.4
WASHINGTON,6070.2,6474.88,6879.56,7284.24,7688.92,8902.96,9712.32,10521.68,11735.72,13354.44,13759.12,14568.48,14973.16,16591.88,17805.92,19424.64,19424.64,20638.68,21448.04,14163.8,11331.04,10926.36,7284.24,6879.56,6879.56,7284.24,5665.52,4451.48,4451.48,4046.8,4856.16,5260.84,6070.2,5665.52,4856.16,4046.8,5260.84,7284.24,6474.88,6070.2,5260.84,4856.16,4451.48,4046.8,3642.12,2832.76,2832.76,2832.76,2428.08,3642.12,3237.44,3237.44,3237.44,5260.84,9307.64,8093.6,7688.92,9307.64,16996.56,24685.48,21043.36,13354.44,12140.4,12140.4,9712.32,9307.64,8498.28,7284.24,8093.6,13354.44,17401.24,24685.48,17401.24,14973.16,10117.0,13759.12,17805.92,25899.52,26304.2,39253.96,35611.84,46133.52,64748.8,44514.8,60702.0,54631.8,48561.6,32374.4,32374.4,36421.2,32374.4,35611.84,35611.84,32374.4,42491.4,41277.36,48561.6,38444.6,40468.0,40468.0,40468.0,22257.4,28327.6,28327.6,42491.4,32374.4,30351.0,46538.2,36421.2,42491.4,50585.0,50585.0,46538.2,42491.4,44514.8,30351.0,34397.8,32374.4,28732.28
WEST VIRGINIA,297439.8,291369.6,295416.4,279229.2,279229.2,275182.4,273159.0,258995.2,256971.8,277205.8,273159.0,263042.0,258995.2,250901.6,238761.2,258995.2,236737.8,256971.8,254948.4,229858.24,218931.88,208005.52,199507.24,188985.56,167132.84,189794.92,181296.64,165109.44,170370.28,165514.12,148922.24,188580.88,184129.4,207196.16,198293.2,212457.0,180891.96,183320.04,166728.16,171179.64,161467.32,145684.8,142042.68,140423.96,133544.4,116143.16,114929.12,112501.04,108858.92,95504.48,89434.28,79317.28,75675.16,70009.64,72842.4,61916.04,55036.48,40872.68,44110.12,44919.48,39658.64,32374.4,28732.28,25899.52,23066.76,23471.44,19019.96,22662.08,19019.96,19829.32,21448.04,23876.12,21448.04,25494.84,26708.88,26304.2,24685.48,21852.72,23471.44,23876.12,25899.52,33993.12,32374.4,24280.8,32779.08,29541.64,24280.8,20234.0,16187.2,18615.28,20234.0,15377.84,20234.0,17401.24,14163.8,16187.2,16187.2,14568.48,13759.12,8093.6,14163.8,10521.68,12140.4,10926.36,11735.72,11331.04,10521.68,10926.36,10521.68,12140.4,11735.72,12545.08,14163.8,14568.48,14568.48,14163.8,14163.8,13354.44,
WISCONSIN,637371.0,659628.4,679862.4,667722.0,659628.4,633324.2,621183.8,615113.6,615113.6,635347.6,647488.0,679862.4,692002.8,692002.8,712236.8,728424.0,696049.6,789126.0,762821.8,465786.68,487234.72,490472.16,384850.68,382422.6,238761.2,378780.48,258590.52,193437.04,279633.88,289750.88,269516.88,303914.68,404680.0,426937.4,404275.32,445957.36,267493.48,421676.56,471047.52,460121.16,450408.84,464167.96,506659.36,526893.36,582334.52,553197.56,525679.32,541461.84,557649.04,613494.88,527702.72,532963.56,612685.52,625230.6,635752.28,654367.56,693621.52,679053.04,603782.56,783055.8,702524.48,653153.52,620374.44,607829.36,601759.16,649916.08,675815.6,689170.04,709808.72,702524.48,751895.44,932382.72,867229.24,845781.2,918623.6,967185.2,898389.6,1234274.0,1214040.0,1246414.4,1355678.0,1416380.0,1355678.0,930764.0,1315210.0,1355678.0,1254508.0,1133104.0,789126.0,1133104.0,1214040.0,1294976.0,1193806.0,950998.0,1254508.0,1234274.0,1214040.0,1234274.0,1193806.0,1153338.0,1112870.0,1052168.0,1173572.0,1153338.0,1052168.0,1173572.0,1133104.0,1327350.4,1165478.4,1185712.4,1254508.0,1343537.6,1335444.0,1226180.4,1258554.8,1214040.0,1303069.6,1185712.4,1214040.0
WYOMING,1618.72,2023.4,2428.08,2428.08,2428.08,3237.44,3642.12,3642.12,3642.12,4856.16,6070.2,7688.92,9712.32,12140.4,15377.84,18615.28,19424.64,24685.48,27518.24,15782.52,20234.0,27518.24,22662.08,35611.84,34802.48,40063.32,37230.56,37635.24,27922.92,30755.68,32374.4,29136.96,31969.72,36421.2,15782.52,56655.2,26708.88,50585.0,35611.84,23471.44,22257.4,27518.24,19424.64,17805.92,12949.76,11735.72,9712.32,8498.28,4856.16,4856.16,6474.88,4046.8,4451.48,2832.76,2832.76,7284.24,7284.24,8498.28,6070.2,8902.96,8093.6,8093.6,3237.44,6879.56,5665.52,5665.52,5665.52,8093.6,8902.96,8902.96,12140.4,11735.72,10926.36,12140.4,11735.72,8093.6,8902.96,12140.4,13759.12,11735.72,14973.16,18615.28,19829.32,27518.24,24280.8,21448.04,20638.68,16591.88,21448.04,16591.88,20234.0,19829.32,21448.04,17805.92,19424.64,19424.64,20234.0,21043.36,24280.8,21043.36,23471.44,20638.68,14163.8,20234.0,20234.0,19829.32,18210.6,24280.8,21043.36,18210.6,20234.0,28327.6,24280.8,27113.56,24280.8,23876.12,27922.92,25494.84,
